id,van,tot,titel,algemeen,ruimte,header
1,40001001,66022021,Structuur van NT,1,0,0
2,40001001,43021025,Structuur van de evangeliën,1,0,0
3,40001001,40028020,Structuur van Mattheüs,1,2,1
4,41001001,41016020,Structuur van Markus,1,2,1
5,42001001,42024053,Structuur van Lukas,1,2,1
6,43001001,43021025,Structuur van Johannes,1,2,1
7,44001001,44028031,"Structuur van Handelingen, het koninkrijk van God",1,2,1
8,44001004,44028029,Structuur van Handelingen 1:4-28:29,1,3,0
9,45001001,57001025,Structuur brieven van Paulus,1,0,0
10,45001001,45016027,Structuur van Romeinen,1,2,1
11,46001001,46016023,Structuur van 1Korinthe,1,2,1
12,47001001,47013014,Structuur van 2Korinthe,1,2,1
13,48001001,48006018,Structuur van Galaten,1,1,1
14,49001001,49006024,Structuur van Efeze,1,1,1
15,50001001,50004023,Structuur van Filippenzen,1,1,1
16,51001001,51004018,Structuur van Kolossenzen,1,1,1
17,52001001,52005028,Structuur van 1Thessalonicenzen,1,1,1
18,53001001,53003018,Structuur van 2Thessalonicenzen,1,1,1
19,54001001,54006021,Structuur van 1Timotheus,1,1,1
20,55001003,55004022,Structuur van 2Timotheus,1,1,1
21,56001001,56003015,Structuur van Titus,1,1,1
22,57001001,57001025,Structuur van Filemon,1,1,1
23,58001001,58013025,Structuur van Hebreeen,1,3,1
24,58001001,58002018,Structuur van Hebreeen 1:1-2:18,0,1,0
25,58001001,58001014,Structuur van Hebreeen 1:1-1:14,0,1,0
26,58002005,58002018,Structuur van Hebreeen 2:5-18,0,1,0
27,58003001,58004013,Structuur van Hebreeen 3:1-4:13,0,1,0
28,58004014,58010018,Structuur van Hebreeen 4:14-10:18,0,1,0
29,59001001,59005020,Structuur van Jakobus,1,1,1
30,60001001,60005014,Structuur van 1Petrus,1,1,1
31,61001001,61003018,Structuur van 2Petrus,1,1,1
32,62001001,62005021,Structuur van 1Johannes,1,2,1
33,63001001,63001013,Structuur van 2Johannes,1,1,1
34,64001001,64001015,Structuur van 3Johannes,1,1,1
35,65001001,65001025,Structuur van Judas,1,1,1
36,66001001,66022021,Structuur van Openbaring,1,2,1
